timestamp,elapsed_s,vllm:kv_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_preemptions_total,vllm:prompt_tokens_total,vllm:generation_tokens_total,vllm:prefix_cache_queries_total,vllm:prefix_cache_hits_total
1772061890.043413,0.017150163650512695,0.0,0.0,0.0,0.0,3843116.0,66560.0,7222897.0,3601280.0
1772061890.3596458,0.33338308334350586,0.0,0.0,0.0,0.0,3843116.0,66560.0,7222897.0,3601280.0
1772061890.6768048,0.6505420207977295,0.0,0.0,0.0,0.0,3843116.0,66560.0,7222897.0,3601280.0
1772061890.9953523,0.9690895080566406,0.0,0.0,0.0,0.0,3843116.0,66560.0,7222897.0,3601280.0
1772061891.312939,1.2866761684417725,0.04826546003016596,16.0,0.0,0.0,3843218.0,66562.0,7224519.0,3601280.0
1772061891.6314874,1.605224609375,0.04826546003016596,16.0,0.0,0.0,3844738.0,67042.0,7224519.0,3601280.0
1772061891.9500992,1.9238364696502686,0.04826546003016596,16.0,0.0,0.0,3844738.0,67506.0,7224519.0,3601280.0
1772061892.2685547,2.2422919273376465,0.04826546003016596,16.0,0.0,0.0,3844738.0,67954.0,7224519.0,3601280.0
1772061892.5874453,2.5611824989318848,0.04826546003016596,16.0,0.0,0.0,3844738.0,68402.0,7224519.0,3601280.0
1772061892.906256,2.879993200302124,0.04826546003016596,16.0,0.0,0.0,3844738.0,68834.0,7224519.0,3601280.0
1772061893.2247725,3.198509693145752,0.04826546003016596,16.0,0.0,0.0,3844738.0,69266.0,7224519.0,3601280.0
1772061893.5430067,3.5167438983917236,0.04826546003016596,16.0,0.0,0.0,3844738.0,69714.0,7224519.0,3601280.0
1772061893.8616738,3.8354110717773438,0.04826546003016596,16.0,0.0,0.0,3844738.0,70146.0,7224519.0,3601280.0
1772061894.1797452,4.153482437133789,0.04826546003016596,16.0,0.0,0.0,3844738.0,70594.0,7224519.0,3601280.0
1772061894.4992824,4.473019599914551,0.02564102564102566,4.0,12.0,0.0,3848159.0,70657.0,7241514.0,3601280.0
1772061894.8177464,4.791483640670776,0.0490196078431373,6.0,10.0,0.0,3848159.0,70658.0,7251665.0,3601280.0
1772061895.135821,5.109558343887329,0.0678733031674208,9.0,7.0,0.0,3854956.0,70661.0,7265241.0,3601280.0
