timestamp,gpu_idx,used_mib,total_mib,util_pct
2026-02-25T22:41:13.296601+00:00,0,91144.0,95830.0,0.0
2026-02-25T22:41:13.296601+00:00,1,91152.0,95830.0,0.0
2026-02-25T22:41:13.531003+00:00,0,91144.0,95830.0,50.0
2026-02-25T22:41:13.531003+00:00,1,91152.0,95830.0,10.0
2026-02-25T22:41:13.761997+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:13.761997+00:00,1,91152.0,95830.0,87.0
2026-02-25T22:41:13.994196+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:13.994196+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:14.226972+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:14.226972+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:14.458970+00:00,0,91144.0,95830.0,98.0
2026-02-25T22:41:14.458970+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:14.690614+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:14.690614+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:14.922079+00:00,0,91144.0,95830.0,99.0
2026-02-25T22:41:14.922079+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:15.154349+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:15.154349+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:15.385524+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:15.385524+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:15.616270+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:15.616270+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:15.848929+00:00,0,91144.0,95830.0,98.0
2026-02-25T22:41:15.848929+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:16.080537+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:16.080537+00:00,1,91152.0,95830.0,98.0
2026-02-25T22:41:16.311280+00:00,0,91144.0,95830.0,100.0
2026-02-25T22:41:16.311280+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:16.540857+00:00,0,91146.0,95830.0,100.0
2026-02-25T22:41:16.540857+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:16.776732+00:00,0,91146.0,95830.0,85.0
2026-02-25T22:41:16.776732+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:17.009354+00:00,0,91146.0,95830.0,100.0
2026-02-25T22:41:17.009354+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:17.239980+00:00,0,91146.0,95830.0,100.0
2026-02-25T22:41:17.239980+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:17.471849+00:00,0,91146.0,95830.0,100.0
2026-02-25T22:41:17.471849+00:00,1,91152.0,95830.0,100.0
2026-02-25T22:41:17.703744+00:00,0,91146.0,95830.0,100.0
2026-02-25T22:41:17.703744+00:00,1,91152.0,95830.0,98.0
